timestamp,pm1,pm2_5,pm4,pm10
2025-09-01T11:24:38,0.163,0.133,0.163,0.612
2025-09-01T11:24:45,0.163,0.277,0.163,0.322
2025-09-01T11:24:52,0.163,0.514,0.163,0.384
2025-09-01T11:24:59,0.163,0.598,0.163,0.361
2025-09-01T11:25:06,0.162,0.053,0.162,0.387
2025-09-01T11:25:13,0.162,0.157,0.163,0.029
2025-09-01T11:25:20,0.162,0.143,0.162,0.444
2025-09-01T11:25:27,0.162,0.239,0.162,0.470
2025-09-01T11:25:34,0.162,0.391,0.162,0.141
2025-09-01T11:25:41,0.163,0.460,0.163,0.064
2025-09-01T11:25:48,0.163,0.343,0.163,0.151
2025-09-01T11:25:56,0.163,0.027,0.163,0.005
2025-09-01T11:26:03,0.163,0.368,0.163,0.441
2025-09-01T11:26:10,0.163,0.356,0.163,0.654
2025-09-01T11:26:17,0.163,0.634,0.163,0.459
2025-09-01T11:26:24,0.163,0.637,0.163,0.477
2025-09-01T11:26:31,0.163,0.497,0.163,0.404
2025-09-01T11:26:38,0.163,0.353,0.163,0.237
2025-09-01T11:26:45,0.163,0.145,0.163,0.055
2025-09-01T11:26:52,0.163,0.420,0.163,0.421
2025-09-01T11:26:59,0.163,0.505,0.163,0.472
2025-09-01T11:27:06,0.163,0.161,0.163,0.463
2025-09-01T11:27:13,0.163,0.384,0.163,0.511
2025-09-01T11:27:20,0.163,0.494,0.163,0.085
2025-09-01T11:27:27,0.163,0.313,0.163,0.345
2025-09-01T11:27:34,0.163,0.387,0.163,0.257
2025-09-01T11:27:41,0.163,0.651,0.163,0.348
2025-09-01T11:27:48,0.163,0.020,0.163,0.134
